Timing samples: mode=median repeats=5 warmup_rounds=5 shuffle_seed=6221073 metric=kernel_ms
CPU reference implemented: yes
GPU kernel implemented: yes

group     name                    kernel        rows    cols    elements      block_x grid_x  cpu     gpu     total_ms    kernel_ms   
------------------------------------------------------------------------------------------------------------------------------------------
small     small_2x3               basic         2       3       6             256     64      SKIP    PASS    0.005       0.005       
small     small_2x3               float4        2       3       6             256     64      SKIP    PASS    0.005       0.005       
small     small_2x3               shared        2       3       6             256     64      SKIP    PASS    0.006       0.006       
small     small_2x3               shared_float4 2       3       6             256     64      SKIP    PASS    0.007       0.007       
small     small_2x3               warp          2       3       6             256     64      SKIP    PASS    0.006       0.006       
small     small_2x3               warp_float4   2       3       6             256     64      SKIP    PASS    0.006       0.006       
small     small_2x4               basic         2       4       8             256     64      SKIP    PASS    0.005       0.005       
small     small_2x4               float4        2       4       8             256     64      SKIP    PASS    0.006       0.006       
small     small_2x4               shared        2       4       8             256     64      SKIP    PASS    0.006       0.006       
small     small_2x4               shared_float4 2       4       8             256     64      SKIP    PASS    0.006       0.006       
small     small_2x4               warp          2       4       8             256     64      SKIP    PASS    0.006       0.006       
small     small_2x4               warp_float4   2       4       8             256     64      SKIP    PASS    0.005       0.005       
small     single_element          basic         1       1       1             256     64      SKIP    PASS    0.005       0.005       
small     single_element          float4        1       1       1             256     64      SKIP    PASS    0.005       0.005       
small     single_element          shared        1       1       1             256     64      SKIP    PASS    0.006       0.006       
small     single_element          shared_float4 1       1       1             256     64      SKIP    PASS    0.006       0.006       
small     single_element          warp          1       1       1             256     64      SKIP    PASS    0.005       0.005       
small     single_element          warp_float4   1       1       1             256     64      SKIP    PASS    0.005       0.005       
narrow    narrow_1024x32          basic         1024    32      32768         256     64      SKIP    SKIP    0.009       0.009       
narrow    narrow_1024x32          float4        1024    32      32768         256     64      SKIP    SKIP    0.010       0.010       
narrow    narrow_1024x32          shared        1024    32      32768         256     64      SKIP    SKIP    0.030       0.030       
narrow    narrow_1024x32          shared_float4 1024    32      32768         256     64      SKIP    SKIP    0.032       0.032       
narrow    narrow_1024x32          warp          1024    32      32768         256     64      SKIP    SKIP    0.020       0.020       
narrow    narrow_1024x32          warp_float4   1024    32      32768         256     64      SKIP    SKIP    0.010       0.010       
narrow    narrow_2048x64          basic         2048    64      131072        256     64      SKIP    SKIP    0.032       0.032       
narrow    narrow_2048x64          float4        2048    64      131072        256     64      SKIP    SKIP    0.024       0.024       
narrow    narrow_2048x64          shared        2048    64      131072        256     64      SKIP    SKIP    0.054       0.054       
narrow    narrow_2048x64          shared_float4 2048    64      131072        256     64      SKIP    SKIP    0.059       0.059       
narrow    narrow_2048x64          warp          2048    64      131072        256     64      SKIP    SKIP    0.020       0.020       
narrow    narrow_2048x64          warp_float4   2048    64      131072        256     64      SKIP    SKIP    0.020       0.020       
narrow    narrow_4096x128         basic         4096    128     524288        256     64      SKIP    SKIP    0.202       0.202       
narrow    narrow_4096x128         float4        4096    128     524288        256     64      SKIP    SKIP    0.139       0.139       
narrow    narrow_4096x128         shared        4096    128     524288        256     64      SKIP    SKIP    0.114       0.114       
narrow    narrow_4096x128         shared_float4 4096    128     524288        256     64      SKIP    SKIP    0.121       0.121       
narrow    narrow_4096x128         warp          4096    128     524288        256     64      SKIP    SKIP    0.034       0.034       
narrow    narrow_4096x128         warp_float4   4096    128     524288        256     64      SKIP    SKIP    0.032       0.032       
narrow    narrow_8192x256         basic         8192    256     2097152       256     64      SKIP    SKIP    1.503       1.503       
narrow    narrow_8192x256         float4        8192    256     2097152       256     64      SKIP    SKIP    0.948       0.948       
narrow    narrow_8192x256         shared        8192    256     2097152       256     64      SKIP    SKIP    0.240       0.240       
narrow    narrow_8192x256         shared_float4 8192    256     2097152       256     64      SKIP    SKIP    0.240       0.240       
narrow    narrow_8192x256         warp          8192    256     2097152       256     64      SKIP    SKIP    0.118       0.118       
narrow    narrow_8192x256         warp_float4   8192    256     2097152       256     64      SKIP    SKIP    0.109       0.109       
narrow    narrow_1024x128         basic         1024    128     131072        256     64      SKIP    SKIP    0.053       0.053       
narrow    narrow_1024x128         float4        1024    128     131072        256     64      SKIP    SKIP    0.036       0.036       
narrow    narrow_1024x128         shared        1024    128     131072        256     64      SKIP    SKIP    0.032       0.032       
narrow    narrow_1024x128         shared_float4 1024    128     131072        256     64      SKIP    SKIP    0.032       0.032       
narrow    narrow_1024x128         warp          1024    128     131072        256     64      SKIP    SKIP    0.010       0.010       
narrow    narrow_1024x128         warp_float4   1024    128     131072        256     64      SKIP    SKIP    0.009       0.009       
tensara   tensara_1               basic         128     4096    524288        256     64      SKIP    SKIP    6.642       6.642       
tensara   tensara_1               float4        128     4096    524288        256     64      SKIP    SKIP    3.241       3.241       
tensara   tensara_1               shared        128     4096    524288        256     64      SKIP    SKIP    0.037       0.037       
tensara   tensara_1               shared_float4 128     4096    524288        256     64      SKIP    SKIP    0.030       0.030       
tensara   tensara_1               warp          128     4096    524288        256     64      SKIP    SKIP    0.078       0.078       
tensara   tensara_1               warp_float4   128     4096    524288        256     64      SKIP    SKIP    0.039       0.039       
tensara   tensara_2               basic         256     4096    1048576       256     64      SKIP    SKIP    11.562      11.562      
tensara   tensara_2               float4        256     4096    1048576       256     64      SKIP    SKIP    5.450       5.450       
tensara   tensara_2               shared        256     4096    1048576       256     64      SKIP    SKIP    0.069       0.069       
tensara   tensara_2               shared_float4 256     4096    1048576       256     64      SKIP    SKIP    0.063       0.063       
tensara   tensara_2               warp          256     4096    1048576       256     64      SKIP    SKIP    0.087       0.087       
tensara   tensara_2               warp_float4   256     4096    1048576       256     64      SKIP    SKIP    0.074       0.074       
tensara   tensara_3               basic         128     8192    1048576       256     64      SKIP    SKIP    23.347      23.347      
tensara   tensara_3               float4        128     8192    1048576       256     64      SKIP    SKIP    10.662      10.662      
tensara   tensara_3               shared        128     8192    1048576       256     64      SKIP    SKIP    0.086       0.086       
tensara   tensara_3               shared_float4 128     8192    1048576       256     64      SKIP    SKIP    0.072       0.072       
tensara   tensara_3               warp          128     8192    1048576       256     64      SKIP    SKIP    0.130       0.130       
tensara   tensara_3               warp_float4   128     8192    1048576       256     64      SKIP    SKIP    0.082       0.082       
tensara   tensara_4               basic         256     8192    2097152       256     64      SKIP    SKIP    52.807      52.807      
tensara   tensara_4               float4        256     8192    2097152       256     64      SKIP    SKIP    21.614      21.614      
tensara   tensara_4               shared        256     8192    2097152       256     64      SKIP    SKIP    0.151       0.151       
tensara   tensara_4               shared_float4 256     8192    2097152       256     64      SKIP    SKIP    0.141       0.141       
tensara   tensara_4               warp          256     8192    2097152       256     64      SKIP    SKIP    0.174       0.174       
tensara   tensara_4               warp_float4   256     8192    2097152       256     64      SKIP    SKIP    0.145       0.145       
tensara   tensara_5               basic         128     16384   2097152       256     64      SKIP    SKIP    101.324     101.324     
tensara   tensara_5               float4        128     16384   2097152       256     64      SKIP    SKIP    42.556      42.556      
tensara   tensara_5               shared        128     16384   2097152       256     64      SKIP    SKIP    0.154       0.154       
tensara   tensara_5               shared_float4 128     16384   2097152       256     64      SKIP    SKIP    0.146       0.146       
tensara   tensara_5               warp          128     16384   2097152       256     64      SKIP    SKIP    0.255       0.255       
tensara   tensara_5               warp_float4   128     16384   2097152       256     64      SKIP    SKIP    0.152       0.152       
scale     tensara_1               basic         128     4096    524288        64      8       SKIP    SKIP    55.422      55.422      
scale     tensara_1               basic         128     4096    524288        64      16      SKIP    SKIP    32.832      32.832      
scale     tensara_1               basic         128     4096    524288        64      32      SKIP    SKIP    21.536      21.536      
scale     tensara_1               basic         128     4096    524288        64      64      SKIP    SKIP    11.017      11.017      
scale     tensara_1               basic         128     4096    524288        64      128     SKIP    SKIP    5.664       5.664       
scale     tensara_1               basic         128     4096    524288        128     8       SKIP    SKIP    36.567      36.567      
scale     tensara_1               basic         128     4096    524288        128     16      SKIP    SKIP    21.935      21.935      
scale     tensara_1               basic         128     4096    524288        128     32      SKIP    SKIP    11.076      11.076      
scale     tensara_1               basic         128     4096    524288        128     64      SKIP    SKIP    5.677       5.677       
scale     tensara_1               basic         128     4096    524288        128     128     SKIP    SKIP    4.875       4.875       
scale     tensara_1               basic         128     4096    524288        256     8       SKIP    SKIP    21.754      21.754      
scale     tensara_1               basic         128     4096    524288        256     16      SKIP    SKIP    10.985      10.985      
scale     tensara_1               basic         128     4096    524288        256     32      SKIP    SKIP    5.643       5.643       
scale     tensara_1               basic         128     4096    524288        256     64      SKIP    SKIP    5.061       5.061       
scale     tensara_1               basic         128     4096    524288        256     128     SKIP    SKIP    4.616       4.616       
scale     tensara_1               basic         128     4096    524288        512     8       SKIP    SKIP    12.198      12.198      
scale     tensara_1               basic         128     4096    524288        512     16      SKIP    SKIP    6.102       6.102       
scale     tensara_1               basic         128     4096    524288        512     32      SKIP    SKIP    4.686       4.686       
scale     tensara_1               basic         128     4096    524288        512     64      SKIP    SKIP    4.557       4.557       
scale     tensara_1               basic         128     4096    524288        512     128     SKIP    SKIP    3.893       3.893       
scale     tensara_1               float4        128     4096    524288        64      8       SKIP    SKIP    20.041      20.041      
scale     tensara_1               float4        128     4096    524288        64      16      SKIP    SKIP    14.445      14.445      
scale     tensara_1               float4        128     4096    524288        64      32      SKIP    SKIP    11.532      11.532      
scale     tensara_1               float4        128     4096    524288        64      64      SKIP    SKIP    10.172      10.172      
scale     tensara_1               float4        128     4096    524288        64      128     SKIP    SKIP    5.213       5.213       
scale     tensara_1               float4        128     4096    524288        128     8       SKIP    SKIP    14.637      14.637      
scale     tensara_1               float4        128     4096    524288        128     16      SKIP    SKIP    10.662      10.662      
scale     tensara_1               float4        128     4096    524288        128     32      SKIP    SKIP    10.106      10.106      
scale     tensara_1               float4        128     4096    524288        128     64      SKIP    SKIP    5.216       5.216       
scale     tensara_1               float4        128     4096    524288        128     128     SKIP    SKIP    2.724       2.724       
scale     tensara_1               float4        128     4096    524288        256     8       SKIP    SKIP    12.679      12.679      
scale     tensara_1               float4        128     4096    524288        256     16      SKIP    SKIP    10.276      10.276      
scale     tensara_1               float4        128     4096    524288        256     32      SKIP    SKIP    4.676       4.676       
scale     tensara_1               float4        128     4096    524288        256     64      SKIP    SKIP    2.732       2.732       
scale     tensara_1               float4        128     4096    524288        256     128     SKIP    SKIP    2.424       2.424       
scale     tensara_1               float4        128     4096    524288        512     8       SKIP    SKIP    10.699      10.699      
scale     tensara_1               float4        128     4096    524288        512     16      SKIP    SKIP    5.379       5.379       
scale     tensara_1               float4        128     4096    524288        512     32      SKIP    SKIP    2.740       2.740       
scale     tensara_1               float4        128     4096    524288        512     64      SKIP    SKIP    2.488       2.488       
scale     tensara_1               float4        128     4096    524288        512     128     SKIP    SKIP    2.391       2.391       
scale     tensara_1               shared        128     4096    524288        64      8       SKIP    SKIP    0.388       0.388       
scale     tensara_1               shared        128     4096    524288        64      16      SKIP    SKIP    0.193       0.193       
scale     tensara_1               shared        128     4096    524288        64      32      SKIP    SKIP    0.113       0.113       
scale     tensara_1               shared        128     4096    524288        64      64      SKIP    SKIP    0.073       0.073       
scale     tensara_1               shared        128     4096    524288        64      128     SKIP    SKIP    0.052       0.052       
scale     tensara_1               shared        128     4096    524288        128     8       SKIP    SKIP    0.186       0.186       
scale     tensara_1               shared        128     4096    524288        128     16      SKIP    SKIP    0.105       0.105       
scale     tensara_1               shared        128     4096    524288        128     32      SKIP    SKIP    0.063       0.063       
scale     tensara_1               shared        128     4096    524288        128     64      SKIP    SKIP    0.045       0.045       
scale     tensara_1               shared        128     4096    524288        128     128     SKIP    SKIP    0.036       0.036       
scale     tensara_1               shared        128     4096    524288        256     8       SKIP    SKIP    0.119       0.119       
scale     tensara_1               shared        128     4096    524288        256     16      SKIP    SKIP    0.066       0.066       
scale     tensara_1               shared        128     4096    524288        256     32      SKIP    SKIP    0.041       0.041       
scale     tensara_1               shared        128     4096    524288        256     64      SKIP    SKIP    0.035       0.035       
scale     tensara_1               shared        128     4096    524288        256     128     SKIP    SKIP    0.037       0.037       
scale     tensara_1               shared        128     4096    524288        512     8       SKIP    SKIP    0.075       0.075       
