Timing samples: mode=median repeats=5 warmup_rounds=5 shuffle_seed=6221073 metric=kernel_ms
CPU reference implemented: yes
GPU kernel implemented: yes

group     name                    kernel        rows    cols    elements      block_x grid_x  cpu     gpu     total_ms    kernel_ms   
------------------------------------------------------------------------------------------------------------------------------------------
small     small_2x3               basic         2       3       6             256     64      REF     PASS    0.006       0.006       
small     small_2x3               float4        2       3       6             256     64      REF     PASS    0.005       0.005       
small     small_2x3               shared        2       3       6             256     64      REF     PASS    0.006       0.006       
small     small_2x3               shared_float4 2       3       6             256     64      REF     PASS    0.006       0.006       
small     small_2x3               warp          2       3       6             256     64      REF     PASS    0.006       0.006       
small     small_2x3               warp_float4   2       3       6             256     64      REF     PASS    0.006       0.006       
small     small_2x4               basic         2       4       8             256     64      REF     PASS    0.005       0.005       
small     small_2x4               float4        2       4       8             256     64      REF     PASS    0.006       0.006       
small     small_2x4               shared        2       4       8             256     64      REF     PASS    0.006       0.006       
small     small_2x4               shared_float4 2       4       8             256     64      REF     PASS    0.006       0.006       
small     small_2x4               warp          2       4       8             256     64      REF     PASS    0.006       0.006       
small     small_2x4               warp_float4   2       4       8             256     64      REF     PASS    0.006       0.006       
small     single_element          basic         1       1       1             256     64      REF     PASS    0.005       0.005       
small     single_element          float4        1       1       1             256     64      REF     PASS    0.005       0.005       
small     single_element          shared        1       1       1             256     64      REF     PASS    0.006       0.006       
small     single_element          shared_float4 1       1       1             256     64      REF     PASS    0.006       0.006       
small     single_element          warp          1       1       1             256     64      REF     PASS    0.006       0.006       
small     single_element          warp_float4   1       1       1             256     64      REF     PASS    0.006       0.006       
narrow    narrow_1024x32          basic         1024    32      32768         256     64      REF     PASS    0.008       0.008       
narrow    narrow_1024x32          float4        1024    32      32768         256     64      REF     PASS    0.009       0.009       
narrow    narrow_1024x32          shared        1024    32      32768         256     64      REF     PASS    0.030       0.030       
narrow    narrow_1024x32          shared_float4 1024    32      32768         256     64      REF     PASS    0.032       0.032       
narrow    narrow_1024x32          warp          1024    32      32768         256     64      REF     PASS    0.010       0.010       
narrow    narrow_1024x32          warp_float4   1024    32      32768         256     64      REF     PASS    0.008       0.008       
narrow    narrow_2048x64          basic         2048    64      131072        256     64      REF     PASS    0.034       0.034       
narrow    narrow_2048x64          float4        2048    64      131072        256     64      REF     PASS    0.027       0.027       
narrow    narrow_2048x64          shared        2048    64      131072        256     64      REF     PASS    0.056       0.056       
narrow    narrow_2048x64          shared_float4 2048    64      131072        256     64      REF     PASS    0.060       0.060       
