Timing samples: mode=median repeats=5 warmup_rounds=5
CPU reference implemented: yes
GPU kernel implemented: yes

group     name                    kernel    N             block   grid    cpu     gpu     kernel_ms   
--------------------------------------------------------------------------------------------
sweep     N=1048576               basic     1048576       64      8       SKIP    SKIP    0.836       
sweep     N=1048576               basic     1048576       64      16      SKIP    SKIP    0.429       
sweep     N=1048576               basic     1048576       64      32      SKIP    SKIP    0.225       
sweep     N=1048576               basic     1048576       64      64      SKIP    SKIP    0.128       
sweep     N=1048576               basic     1048576       64      128     SKIP    SKIP    0.087       
sweep     N=1048576               basic     1048576       128     8       SKIP    SKIP    0.428       
sweep     N=1048576               basic     1048576       128     16      SKIP    SKIP    0.226       
sweep     N=1048576               basic     1048576       128     32      SKIP    SKIP    0.126       
sweep     N=1048576               basic     1048576       128     64      SKIP    SKIP    0.087       
sweep     N=1048576               basic     1048576       128     128     SKIP    SKIP    0.077       
sweep     N=1048576               basic     1048576       256     8       SKIP    SKIP    0.227       
sweep     N=1048576               basic     1048576       256     16      SKIP    SKIP    0.127       
sweep     N=1048576               basic     1048576       256     32      SKIP    SKIP    0.086       
sweep     N=1048576               basic     1048576       256     64      SKIP    SKIP    0.077       
sweep     N=1048576               basic     1048576       256     128     SKIP    SKIP    0.088       
sweep     N=1048576               basic     1048576       512     8       SKIP    SKIP    0.128       
sweep     N=1048576               basic     1048576       512     16      SKIP    SKIP    0.086       
sweep     N=1048576               basic     1048576       512     32      SKIP    SKIP    0.078       
sweep     N=1048576               basic     1048576       512     64      SKIP    SKIP    0.087       
sweep     N=1048576               basic     1048576       512     128     SKIP    SKIP    0.080       
sweep     N=1048576               float4    1048576       64      8       SKIP    SKIP    0.236       
sweep     N=1048576               float4    1048576       64      16      SKIP    SKIP    0.131       
sweep     N=1048576               float4    1048576       64      32      SKIP    SKIP    0.089       
sweep     N=1048576               float4    1048576       64      64      SKIP    SKIP    0.078       
sweep     N=1048576               float4    1048576       64      128     SKIP    SKIP    0.076       
sweep     N=1048576               float4    1048576       128     8       SKIP    SKIP    0.134       
sweep     N=1048576               float4    1048576       128     16      SKIP    SKIP    0.086       
sweep     N=1048576               float4    1048576       128     32      SKIP    SKIP    0.080       
sweep     N=1048576               float4    1048576       128     64      SKIP    SKIP    0.078       
sweep     N=1048576               float4    1048576       128     128     SKIP    SKIP    0.077       
sweep     N=1048576               float4    1048576       256     8       SKIP    SKIP    0.087       
sweep     N=1048576               float4    1048576       256     16      SKIP    SKIP    0.077       
sweep     N=1048576               float4    1048576       256     32      SKIP    SKIP    0.079       
sweep     N=1048576               float4    1048576       256     64      SKIP    SKIP    0.078       
sweep     N=1048576               float4    1048576       256     128     SKIP    SKIP    0.078       
sweep     N=1048576               float4    1048576       512     8       SKIP    SKIP    0.081       
sweep     N=1048576               float4    1048576       512     16      SKIP    SKIP    0.078       
sweep     N=1048576               float4    1048576       512     32      SKIP    SKIP    0.077       
