Timing samples: mode=median repeats=5 warmup_rounds=5
CPU reference implemented: yes
GPU kernel implemented: yes

group     name                        kernel    N       scalar    block   grid    cpu     gpu     kernel_ms   
----------------------------------------------------------------------------------------------------
sweep     8192x8192 scalar=0.100000   basic     8192    0.100     64      8       SKIP    SKIP    40.248      
sweep     8192x8192 scalar=0.100000   basic     8192    0.100     64      16      SKIP    SKIP    20.690      
sweep     8192x8192 scalar=0.100000   basic     8192    0.100     64      32      SKIP    SKIP    10.869      
sweep     8192x8192 scalar=0.100000   basic     8192    0.100     64      64      SKIP    SKIP    5.890       
sweep     8192x8192 scalar=0.100000   basic     8192    0.100     64      128     SKIP    SKIP    3.678       
sweep     8192x8192 scalar=0.100000   basic     8192    0.100     128     8       SKIP    SKIP    20.691      
sweep     8192x8192 scalar=0.100000   basic     8192    0.100     128     16      SKIP    SKIP    10.863      
sweep     8192x8192 scalar=0.100000   basic     8192    0.100     128     32      SKIP    SKIP    5.894       
sweep     8192x8192 scalar=0.100000   basic     8192    0.100     128     64      SKIP    SKIP    3.689       
sweep     8192x8192 scalar=0.100000   basic     8192    0.100     128     128     SKIP    SKIP    3.148       
sweep     8192x8192 scalar=0.100000   basic     8192    0.100     256     8       SKIP    SKIP    10.864      
sweep     8192x8192 scalar=0.100000   basic     8192    0.100     256     16      SKIP    SKIP    5.868       
sweep     8192x8192 scalar=0.100000   basic     8192    0.100     256     32      SKIP    SKIP    3.678       
sweep     8192x8192 scalar=0.100000   basic     8192    0.100     256     64      SKIP    SKIP    3.131       
sweep     8192x8192 scalar=0.100000   basic     8192    0.100     256     128     SKIP    SKIP    3.482       
sweep     8192x8192 scalar=0.100000   basic     8192    0.100     512     8       SKIP    SKIP    5.865       
sweep     8192x8192 scalar=0.100000   basic     8192    0.100     512     16      SKIP    SKIP    3.685       
sweep     8192x8192 scalar=0.100000   basic     8192    0.100     512     32      SKIP    SKIP    3.128       
sweep     8192x8192 scalar=0.100000   basic     8192    0.100     512     64      SKIP    SKIP    3.484       
sweep     8192x8192 scalar=0.100000   basic     8192    0.100     512     128     SKIP    SKIP    3.192       
sweep     8192x8192 scalar=0.100000   float4    8192    0.100     64      8       SKIP    SKIP    11.292      
sweep     8192x8192 scalar=0.100000   float4    8192    0.100     64      16      SKIP    SKIP    6.159       
sweep     8192x8192 scalar=0.100000   float4    8192    0.100     64      32      SKIP    SKIP    3.754       
sweep     8192x8192 scalar=0.100000   float4    8192    0.100     64      64      SKIP    SKIP    3.082       
sweep     8192x8192 scalar=0.100000   float4    8192    0.100     64      128     SKIP    SKIP    2.990       
sweep     8192x8192 scalar=0.100000   float4    8192    0.100     128     8       SKIP    SKIP    6.171       
sweep     8192x8192 scalar=0.100000   float4    8192    0.100     128     16      SKIP    SKIP    3.736       
sweep     8192x8192 scalar=0.100000   float4    8192    0.100     128     32      SKIP    SKIP    3.091       
sweep     8192x8192 scalar=0.100000   float4    8192    0.100     128     64      SKIP    SKIP    3.001       
sweep     8192x8192 scalar=0.100000   float4    8192    0.100     128     128     SKIP    SKIP    2.990       
sweep     8192x8192 scalar=0.100000   float4    8192    0.100     256     8       SKIP    SKIP    3.739       
sweep     8192x8192 scalar=0.100000   float4    8192    0.100     256     16      SKIP    SKIP    3.087       
sweep     8192x8192 scalar=0.100000   float4    8192    0.100     256     32      SKIP    SKIP    2.991       
sweep     8192x8192 scalar=0.100000   float4    8192    0.100     256     64      SKIP    SKIP    2.993       
sweep     8192x8192 scalar=0.100000   float4    8192    0.100     256     128     SKIP    SKIP    3.023       
sweep     8192x8192 scalar=0.100000   float4    8192    0.100     512     8       SKIP    SKIP    3.088       
sweep     8192x8192 scalar=0.100000   float4    8192    0.100     512     16      SKIP    SKIP    2.990       
sweep     8192x8192 scalar=0.100000   float4    8192    0.100     512     32      SKIP    SKIP    3.004       
sweep     8192x8192 scalar=0.100000   float4    8192    0.100     512     64      SKIP    SKIP    3.036       
sweep     8192x8192 scalar=0.100000   float4    8192    0.100     512     128     SKIP    SKIP    3.009       
sweep     8192x8192 scalar=0.200000   basic     8192    0.200     64      8       SKIP    SKIP    40.292      
sweep     8192x8192 scalar=0.200000   basic     8192    0.200     64      16      SKIP    SKIP    20.696      
sweep     8192x8192 scalar=0.200000   basic     8192    0.200     64      32      SKIP    SKIP    10.871      
sweep     8192x8192 scalar=0.200000   basic     8192    0.200     64      64      SKIP    SKIP    5.893       
sweep     8192x8192 scalar=0.200000   basic     8192    0.200     64      128     SKIP    SKIP    3.673       
sweep     8192x8192 scalar=0.200000   basic     8192    0.200     128     8       SKIP    SKIP    20.708      
sweep     8192x8192 scalar=0.200000   basic     8192    0.200     128     16      SKIP    SKIP    10.868      
sweep     8192x8192 scalar=0.200000   basic     8192    0.200     128     32      SKIP    SKIP    5.887       
sweep     8192x8192 scalar=0.200000   basic     8192    0.200     128     64      SKIP    SKIP    3.680       
sweep     8192x8192 scalar=0.200000   basic     8192    0.200     128     128     SKIP    SKIP    3.131       
sweep     8192x8192 scalar=0.200000   basic     8192    0.200     256     8       SKIP    SKIP    10.860      
sweep     8192x8192 scalar=0.200000   basic     8192    0.200     256     16      SKIP    SKIP    5.872       
sweep     8192x8192 scalar=0.200000   basic     8192    0.200     256     32      SKIP    SKIP    3.686       
sweep     8192x8192 scalar=0.200000   basic     8192    0.200     256     64      SKIP    SKIP    3.132       
sweep     8192x8192 scalar=0.200000   basic     8192    0.200     256     128     SKIP    SKIP    3.499       
sweep     8192x8192 scalar=0.200000   basic     8192    0.200     512     8       SKIP    SKIP    5.871       
sweep     8192x8192 scalar=0.200000   basic     8192    0.200     512     16      SKIP    SKIP    3.670       
sweep     8192x8192 scalar=0.200000   basic     8192    0.200     512     32      SKIP    SKIP    3.143       
sweep     8192x8192 scalar=0.200000   basic     8192    0.200     512     64      SKIP    SKIP    3.478       
sweep     8192x8192 scalar=0.200000   basic     8192    0.200     512     128     SKIP    SKIP    3.173       
sweep     8192x8192 scalar=0.200000   float4    8192    0.200     64      8       SKIP    SKIP    11.277      
sweep     8192x8192 scalar=0.200000   float4    8192    0.200     64      16      SKIP    SKIP    6.157       
sweep     8192x8192 scalar=0.200000   float4    8192    0.200     64      32      SKIP    SKIP    3.743       
sweep     8192x8192 scalar=0.200000   float4    8192    0.200     64      64      SKIP    SKIP    3.085       
sweep     8192x8192 scalar=0.200000   float4    8192    0.200     64      128     SKIP    SKIP    2.988       
sweep     8192x8192 scalar=0.200000   float4    8192    0.200     128     8       SKIP    SKIP    6.164       
sweep     8192x8192 scalar=0.200000   float4    8192    0.200     128     16      SKIP    SKIP    3.746       
sweep     8192x8192 scalar=0.200000   float4    8192    0.200     128     32      SKIP    SKIP    3.083       
sweep     8192x8192 scalar=0.200000   float4    8192    0.200     128     64      SKIP    SKIP    2.988       
sweep     8192x8192 scalar=0.200000   float4    8192    0.200     128     128     SKIP    SKIP    2.985       
sweep     8192x8192 scalar=0.200000   float4    8192    0.200     256     8       SKIP    SKIP    3.732       
sweep     8192x8192 scalar=0.200000   float4    8192    0.200     256     16      SKIP    SKIP    3.085       
sweep     8192x8192 scalar=0.200000   float4    8192    0.200     256     32      SKIP    SKIP    2.993       
sweep     8192x8192 scalar=0.200000   float4    8192    0.200     256     64      SKIP    SKIP    2.995       
sweep     8192x8192 scalar=0.200000   float4    8192    0.200     256     128     SKIP    SKIP    3.024       
sweep     8192x8192 scalar=0.200000   float4    8192    0.200     512     8       SKIP    SKIP    3.090       
sweep     8192x8192 scalar=0.200000   float4    8192    0.200     512     16      SKIP    SKIP    2.992       
sweep     8192x8192 scalar=0.200000   float4    8192    0.200     512     32      SKIP    SKIP    2.991       
sweep     8192x8192 scalar=0.200000   float4    8192    0.200     512     64      SKIP    SKIP    3.025       
sweep     8192x8192 scalar=0.200000   float4    8192    0.200     512     128     SKIP    SKIP    2.993       
sweep     8192x8192 scalar=-0.300000  basic     8192    -0.300    64      8       SKIP    SKIP    40.266      
sweep     8192x8192 scalar=-0.300000  basic     8192    -0.300    64      16      SKIP    SKIP    20.696      
sweep     8192x8192 scalar=-0.300000  basic     8192    -0.300    64      32      SKIP    SKIP    10.865      
sweep     8192x8192 scalar=-0.300000  basic     8192    -0.300    64      64      SKIP    SKIP    5.891       
sweep     8192x8192 scalar=-0.300000  basic     8192    -0.300    64      128     SKIP    SKIP    3.674       
sweep     8192x8192 scalar=-0.300000  basic     8192    -0.300    128     8       SKIP    SKIP    20.705      
