Timing samples: mode=median repeats=5 warmup_rounds=5 shuffle_seed=6221076 metric=kernel_ms
CPU reference implemented: yes
GPU kernel implemented: yes

group     name                        kernel    H           H_out       K       stride  pad     dil     block   grid    cpu     gpu     total_ms    kernel_ms   
----------------------------------------------------------------------------------------------------------------------------------------------------------------
sweep     tensara_1                   basic     2097152     524288      7       4       3       1       64      8       SKIP    SKIP    0.755       0.755       
sweep     tensara_1                   basic     2097152     524288      7       4       3       1       64      16      SKIP    SKIP    0.384       0.384       
sweep     tensara_1                   basic     2097152     524288      7       4       3       1       64      32      SKIP    SKIP    0.199       0.199       
sweep     tensara_1                   basic     2097152     524288      7       4       3       1       64      64      SKIP    SKIP    0.109       0.109       
sweep     tensara_1                   basic     2097152     524288      7       4       3       1       64      128     SKIP    SKIP    0.071       0.071       
sweep     tensara_1                   basic     2097152     524288      7       4       3       1       128     8       SKIP    SKIP    0.385       0.385       
sweep     tensara_1                   basic     2097152     524288      7       4       3       1       128     16      SKIP    SKIP    0.199       0.199       
sweep     tensara_1                   basic     2097152     524288      7       4       3       1       128     32      SKIP    SKIP    0.110       0.110       
sweep     tensara_1                   basic     2097152     524288      7       4       3       1       128     64      SKIP    SKIP    0.069       0.069       
sweep     tensara_1                   basic     2097152     524288      7       4       3       1       128     128     SKIP    SKIP    0.066       0.066       
sweep     tensara_1                   basic     2097152     524288      7       4       3       1       256     8       SKIP    SKIP    0.202       0.202       
sweep     tensara_1                   basic     2097152     524288      7       4       3       1       256     16      SKIP    SKIP    0.111       0.111       
sweep     tensara_1                   basic     2097152     524288      7       4       3       1       256     32      SKIP    SKIP    0.070       0.070       
sweep     tensara_1                   basic     2097152     524288      7       4       3       1       256     64      SKIP    SKIP    0.062       0.062       
sweep     tensara_1                   basic     2097152     524288      7       4       3       1       256     128     SKIP    SKIP    0.071       0.071       
sweep     tensara_1                   basic     2097152     524288      7       4       3       1       512     8       SKIP    SKIP    0.113       0.113       
sweep     tensara_1                   basic     2097152     524288      7       4       3       1       512     16      SKIP    SKIP    0.070       0.070       
sweep     tensara_1                   basic     2097152     524288      7       4       3       1       512     32      SKIP    SKIP    0.065       0.065       
