Timing samples: mode=median repeats=5 warmup=1 metric=kernel_ms

group   name            kernel    N         K       block_x grid_x  cpu   gpu   total_ms    kernel_ms   
--------------------------------------------------------------------------------------------------------
small   small_1         basic     4         3       256     32      SKIP  PASS  4.356       0.005       
small   small_1         basic_c   4         3       256     32      SKIP  PASS  0.649       0.005       
small   small_1         tiled     4         3       256     32      SKIP  PASS  0.647       0.006       
small   small_1         tiled_c   4         3       256     32      SKIP  PASS  0.666       0.007       
small   small_1         bstride   4         3       256     32      SKIP  PASS  0.655       0.006       
small   small_1         bstride_c 4         3       256     32      SKIP  PASS  0.738       0.006       
small   small_2         basic     3         3       256     32      SKIP  PASS  0.519       0.005       
small   small_2         basic_c   3         3       256     32      SKIP  PASS  0.522       0.005       
small   small_2         tiled     3         3       256     32      SKIP  PASS  0.606       0.005       
small   small_2         tiled_c   3         3       256     32      SKIP  PASS  0.585       0.005       
small   small_2         bstride   3         3       256     32      SKIP  PASS  0.793       0.026       
small   small_2         bstride_c 3         3       256     32      SKIP  PASS  0.733       0.027       
small   small_3         basic     3         3       256     32      SKIP  PASS  0.744       0.044       
small   small_3         basic_c   3         3       256     32      SKIP  PASS  1.020       0.047       
small   small_3         tiled     3         3       256     32      SKIP  PASS  0.754       0.026       
small   small_3         tiled_c   3         3       256     32      SKIP  PASS  0.743       0.039       
small   small_3         bstride   3         3       256     32      SKIP  PASS  0.772       0.043       
small   small_3         bstride_c 3         3       256     32      SKIP  PASS  0.744       0.027       
medium  medium_1        basic     4096      31      256     32      SKIP  SKIP  0.714       0.026       
medium  medium_1        basic_c   4096      31      256     32      SKIP  SKIP  0.692       0.025       
medium  medium_1        tiled     4096      31      256     32      SKIP  SKIP  0.686       0.026       
medium  medium_1        tiled_c   4096      31      256     32      SKIP  SKIP  0.737       0.026       
medium  medium_1        bstride   4096      31      256     32      SKIP  SKIP  0.752       0.026       
medium  medium_1        bstride_c 4096      31      256     32      SKIP  SKIP  0.725       0.025       
medium  medium_2        basic     4097      63      256     32      SKIP  SKIP  0.736       0.026       
medium  medium_2        basic_c   4097      63      256     32      SKIP  SKIP  0.703       0.032       
medium  medium_2        tiled     4097      63      256     32      SKIP  SKIP  0.563       0.008       
medium  medium_2        tiled_c   4097      63      256     32      SKIP  SKIP  0.587       0.007       
