Timing samples: mode=median repeats=5 warmup=1 metric=kernel_ms

group   name            kernel    N         K       block_x grid_x  cpu   gpu   total_ms    kernel_ms   
--------------------------------------------------------------------------------------------------------
small   small_1         basic     4         3       256     32      PASS  PASS  4.551       0.005       
small   small_1         basic_c   4         3       256     32      PASS  PASS  0.672       0.006       
small   small_1         tiled     4         3       256     32      PASS  PASS  0.673       0.005       
small   small_1         tiled_c   4         3       256     32      PASS  PASS  0.653       0.006       
small   small_1         bstride   4         3       256     32      PASS  PASS  0.624       0.005       
small   small_1         bstride_c 4         3       256     32      PASS  PASS  0.667       0.005       
small   small_2         basic     3         3       256     32      PASS  PASS  0.560       0.005       
small   small_2         basic_c   3         3       256     32      PASS  PASS  0.714       0.006       
small   small_2         tiled     3         3       256     32      PASS  PASS  0.550       0.005       
small   small_2         tiled_c   3         3       256     32      PASS  PASS  0.821       0.005       
small   small_2         bstride   3         3       256     32      PASS  PASS  0.729       0.007       
small   small_2         bstride_c 3         3       256     32      PASS  PASS  0.759       0.006       
small   small_3         basic     3         3       256     32      PASS  PASS  0.794       0.031       
small   small_3         basic_c   3         3       256     32      PASS  PASS  0.639       0.005       
small   small_3         tiled     3         3       256     32      PASS  PASS  0.672       0.006       
small   small_3         tiled_c   3         3       256     32      PASS  PASS  0.857       0.026       
small   small_3         bstride   3         3       256     32      PASS  PASS  0.602       0.006       
small   small_3         bstride_c 3         3       256     32      PASS  PASS  0.842       0.029       
medium  medium_1        basic     4096      31      256     32      REF   PASS  0.767       0.025       
medium  medium_1        basic_c   4096      31      256     32      REF   PASS  0.761       0.026       
medium  medium_1        tiled     4096      31      256     32      REF   PASS  0.811       0.026       
medium  medium_1        tiled_c   4096      31      256     32      REF   PASS  0.759       0.027       
medium  medium_1        bstride   4096      31      256     32      REF   PASS  0.774       0.026       
medium  medium_1        bstride_c 4096      31      256     32      REF   PASS  0.746       0.026       
medium  medium_2        basic     4097      63      256     32      REF   PASS  0.771       0.026       
medium  medium_2        basic_c   4097      63      256     32      REF   PASS  0.711       0.026       
medium  medium_2        tiled     4097      63      256     32      REF   PASS  0.674       0.008       
medium  medium_2        tiled_c   4097      63      256     32      REF   PASS  0.784       0.008       
medium  medium_2        bstride   4097      63      256     32      REF   PASS  0.579       0.008       
medium  medium_2        bstride_c 4097      63      256     32      REF   PASS  0.741       0.007       
medium  medium_3        basic     8193      95      256     32      REF   PASS  0.801       0.012       
medium  medium_3        basic_c   8193      95      256     32      REF   PASS  0.606       0.011       
medium  medium_3        tiled     8193      95      256     32      REF   PASS  0.682       0.012       
medium  medium_3        tiled_c   8193      95      256     32      REF   PASS  0.716       0.011       
medium  medium_3        bstride   8193      95      256     32      REF   PASS  0.652       0.012       
medium  medium_3        bstride_c 8193      95      256     32      REF   PASS  0.795       0.026       
medium  medium_4        basic     16384     127     256     32      REF   PASS  1.055       0.018       
medium  medium_4        basic_c   16384     127     256     32      REF   PASS  0.902       0.017       
medium  medium_4        tiled     16384     127     256     32      REF   PASS  1.197       0.024       
medium  medium_4        tiled_c   16384     127     256     32      REF   PASS  1.134       0.015       
medium  medium_4        bstride   16384     127     256     32      REF   PASS  0.810       0.017       
medium  medium_4        bstride_c 16384     127     256     32      REF   PASS  0.640       0.012       
large   large_1         basic     32769     127     256     32      REF   PASS  1.836       0.033       
large   large_1         basic_c   32769     127     256     32      REF   PASS  0.981       0.029       
large   large_1         tiled     32769     127     256     32      REF   PASS  0.822       0.037       
large   large_1         tiled_c   32769     127     256     32      REF   PASS  1.115       0.043       
large   large_1         bstride   32769     127     256     32      REF   PASS  0.785       0.034       
large   large_1         bstride_c 32769     127     256     32      REF   PASS  0.683       0.019       
large   large_2         basic     65537     191     256     32      REF   PASS  1.414       0.080       
large   large_2         basic_c   65537     191     256     32      REF   PASS  1.550       0.073       
large   large_2         tiled     65537     191     256     32      REF   PASS  2.161       0.100       
large   large_2         tiled_c   65537     191     256     32      REF   PASS  1.248       0.067       
large   large_2         bstride   65537     191     256     32      REF   PASS  1.590       0.081       
large   large_2         bstride_c 65537     191     256     32      REF   PASS  0.963       0.045       
webvfy  webvfy_1        basic     8193      8191    256     32      REF   PASS  4.181       0.452       
webvfy  webvfy_1        basic_c   8193      8191    256     32      REF   PASS  3.340       0.426       
webvfy  webvfy_1        tiled     8193      8191    256     32      REF   PASS  4.484       0.599       
webvfy  webvfy_1        tiled_c   8193      8191    256     32      REF   PASS  3.248       0.410       
webvfy  webvfy_1        bstride   8193      8191    256     32      REF   PASS  4.254       0.542       
webvfy  webvfy_1        bstride_c 8193      8191    256     32      REF   PASS  2.523       0.276       
webvfy  webvfy_2        basic     16385     8191    256     32      REF   PASS  6.061       0.805       
webvfy  webvfy_2        basic_c   16385     8191    256     32      REF   PASS  5.182       0.735       
webvfy  webvfy_2        tiled     16385     8191    256     32      REF   PASS  6.709       0.979       
webvfy  webvfy_2        tiled_c   16385     8191    256     32      REF   PASS  4.805       0.662       
webvfy  webvfy_2        bstride   16385     8191    256     32      REF   PASS  6.452       0.905       
webvfy  webvfy_2        bstride_c 16385     8191    256     32      REF   PASS  3.697       0.459       
scale   scale_verify    basic     4097      383     64      8       REF   PASS  1.393       0.098       
scale   scale_verify    basic_c   4097      383     64      8       REF   PASS  1.317       0.105       
scale   scale_verify    tiled     4097      383     64      8       REF   PASS  1.246       0.101       
scale   scale_verify    tiled_c   4097      383     64      8       REF   PASS  1.234       0.089       
scale   scale_verify    bstride   4097      383     64      8       REF   PASS  0.986       0.057       
scale   scale_verify    bstride_c 4097      383     64      8       REF   PASS  0.814       0.043       
