Timing samples: mode=median repeats=5 warmup=1 metric=kernel_ms

group   name              kernel        rows      cols      block_x grid_x  cpu   gpu   total_ms    kernel_ms   
----------------------------------------------------------------------------------------------------------------
small   small_1           basic         2         4         256     64      SKIP  PASS  1.215       0.005       
small   small_2           basic         3         3         256     64      SKIP  PASS  1.270       0.032       
small   small_3           basic         1         8         256     64      SKIP  PASS  1.611       0.071       
small   small_tail2       basic         2         3         256     64      SKIP  PASS  0.994       0.005       
medium  medium_1          basic         64        64        256     64      SKIP  SKIP  1.336       0.030       
medium  medium_2          basic         255       257       256     64      SKIP  SKIP  0.809       0.006       
medium  medium_3          basic         513       1025      256     64      SKIP  SKIP  2.338       0.030       
medium  medium_4          basic         1024      1024      256     64      SKIP  SKIP  2.658       0.055       
medium  medium_tail2      basic         257       258       256     64      SKIP  SKIP  0.917       0.051       
large   large_1           basic         1023      2049      256     64      SKIP  SKIP  6.435       0.103       
large   large_2           basic         1537      2049      256     64      SKIP  SKIP  7.471       0.153       
tensara tensara_1         basic         4096      4096      256     64      SKIP  SKIP  36.063      0.794       
tensara tensara_2         basic         6144      4096      256     64      SKIP  SKIP  55.772      1.185       
tensara tensara_3         basic         4096      7168      256     64      SKIP  SKIP  54.605      1.384       
tensara tensara_4         basic         4096      8192      256     64      SKIP  SKIP  63.150      1.574       
tensara tensara_5         basic         8192      8192      256     64      SKIP  SKIP  145.994     3.182       
scale   scale_tensara_1   basic         4096      4096      64      8       SKIP  SKIP  91.971      10.394      
scale   scale_tensara_1   basic         4096      4096      64      16      SKIP  SKIP  60.994      5.311       
scale   scale_tensara_1   basic         4096      4096      64      32      SKIP  SKIP  42.179      2.772       
scale   scale_tensara_1   basic         4096      4096      64      64      SKIP  SKIP  45.015      1.510       
scale   scale_tensara_1   basic         4096      4096      64      128     SKIP  SKIP  35.932      0.941       
scale   scale_tensara_1   basic         4096      4096      128     8       SKIP  SKIP  63.926      5.328       
scale   scale_tensara_1   basic         4096      4096      128     16      SKIP  SKIP  47.107      2.781       
scale   scale_tensara_1   basic         4096      4096      128     32      SKIP  SKIP  41.059      1.508       
scale   scale_tensara_1   basic         4096      4096      128     64      SKIP  SKIP  35.926      0.941       
scale   scale_tensara_1   basic         4096      4096      128     128     SKIP  SKIP  44.637      0.779       
scale   scale_tensara_1   basic         4096      4096      256     8       SKIP  SKIP  45.461      2.772       
scale   scale_tensara_1   basic         4096      4096      256     16      SKIP  SKIP  42.729      1.514       
scale   scale_tensara_1   basic         4096      4096      256     32      SKIP  SKIP  39.571      0.940       
scale   scale_tensara_1   basic         4096      4096      256     64      SKIP  SKIP  38.043      0.779       
scale   scale_tensara_1   basic         4096      4096      256     128     SKIP  SKIP  41.593      0.878       
scale   scale_tensara_1   basic         4096      4096      512     8       SKIP  SKIP  43.868      1.510       
scale   scale_tensara_1   basic         4096      4096      512     16      SKIP  SKIP  32.997      0.944       
scale   scale_tensara_1   basic         4096      4096      512     32      SKIP  SKIP  35.002      0.780       
