Timing samples: mode=median repeats=5 warmup=1 metric=kernel_ms

group   name            kernel        m         k         block_x grid_x  cpu   gpu   total_ms    kernel_ms   
--------------------------------------------------------------------------------------------------------------
small   small_1         basic         2         3         256     64      SKIP  PASS  4.324       0.006       
small   small_2         basic         3         1         256     64      SKIP  PASS  0.647       0.007       
small   small_3         basic         1         4         256     64      SKIP  PASS  1.021       0.030       
small   small_4         basic         3         4         256     64      SKIP  PASS  0.666       0.006       
medium  medium_1        basic         64        64        256     64      SKIP  SKIP  1.434       0.010       
medium  medium_2        basic         255       257       256     64      SKIP  SKIP  1.032       0.022       
medium  medium_3        basic         513       1025      256     64      SKIP  SKIP  2.009       0.135       
medium  medium_4        basic         1024      1024      256     64      SKIP  SKIP  4.180       0.396       
medium  medium_tail     basic         257       258       256     64      SKIP  SKIP  1.116       0.024       
large   large_1         basic         1023      2049      256     64      SKIP  SKIP  4.288       0.262       
large   large_2         basic         1537      2049      256     64      SKIP  SKIP  4.522       0.276       
tensara tensara_1       basic         4096      4096      256     64      SKIP  SKIP  24.950      1.484       
tensara tensara_2       basic         6144      4096      256     64      SKIP  SKIP  36.955      1.545       
tensara tensara_3       basic         7168      4096      256     64      SKIP  SKIP  40.131      1.833       
tensara tensara_4       basic         8192      4096      256     64      SKIP  SKIP  33.829      2.055       
tensara tensara_5       basic         9216      4096      256     64      SKIP  SKIP  39.880      2.294       
scale   scale_tensara_1 basic         4096      4096      64      8       SKIP  SKIP  28.212      2.903       
scale   scale_tensara_1 basic         4096      4096      64      16      SKIP  SKIP  20.056      1.450       
scale   scale_tensara_1 basic         4096      4096      64      32      SKIP  SKIP  18.282      1.034       
scale   scale_tensara_1 basic         4096      4096      64      64      SKIP  SKIP  20.507      0.992       
scale   scale_tensara_1 basic         4096      4096      64      128     SKIP  SKIP  16.397      0.983       
scale   scale_tensara_1 basic         4096      4096      128     8       SKIP  SKIP  23.152      1.694       
scale   scale_tensara_1 basic         4096      4096      128     16      SKIP  SKIP  16.920      1.056       
scale   scale_tensara_1 basic         4096      4096      128     32      SKIP  SKIP  18.706      0.983       
scale   scale_tensara_1 basic         4096      4096      128     64      SKIP  SKIP  16.915      0.984       
scale   scale_tensara_1 basic         4096      4096      128     128     SKIP  SKIP  16.245      0.982       
scale   scale_tensara_1 basic         4096      4096      256     8       SKIP  SKIP  22.179      1.464       
scale   scale_tensara_1 basic         4096      4096      256     16      SKIP  SKIP  18.832      0.982       
scale   scale_tensara_1 basic         4096      4096      256     32      SKIP  SKIP  19.274      0.982       
scale   scale_tensara_1 basic         4096      4096      256     64      SKIP  SKIP  20.191      1.488       
scale   scale_tensara_1 basic         4096      4096      256     128     SKIP  SKIP  17.766      1.137       
scale   scale_tensara_1 basic         4096      4096      512     8       SKIP  SKIP  19.876      1.138       
scale   scale_tensara_1 basic         4096      4096      512     16      SKIP  SKIP  16.960      1.133       
scale   scale_tensara_1 basic         4096      4096      512     32      SKIP  SKIP  19.550      1.145       
scale   scale_tensara_1 basic         4096      4096      512     64      SKIP  SKIP  23.538      2.227       
scale   scale_tensara_1 basic         4096      4096      512     128     SKIP  SKIP  23.714      2.228       
scale   scale_tensara_2 basic         6144      4096      64      8       SKIP  SKIP  38.326      3.564       
scale   scale_tensara_2 basic         6144      4096      64      16      SKIP  SKIP  29.856      1.919       
scale   scale_tensara_2 basic         6144      4096      64      32      SKIP  SKIP  28.244      1.530       
scale   scale_tensara_2 basic         6144      4096      64      64      SKIP  SKIP  29.067      1.498       
scale   scale_tensara_2 basic         6144      4096      64      128     SKIP  SKIP  31.995      1.488       
scale   scale_tensara_2 basic         6144      4096      128     8       SKIP  SKIP  33.382      2.096       
scale   scale_tensara_2 basic         6144      4096      128     16      SKIP  SKIP  25.033      1.534       
scale   scale_tensara_2 basic         6144      4096      128     32      SKIP  SKIP  24.758      1.503       
scale   scale_tensara_2 basic         6144      4096      128     64      SKIP  SKIP  26.111      1.468       
scale   scale_tensara_2 basic         6144      4096      128     128     SKIP  SKIP  27.103      1.599       
scale   scale_tensara_2 basic         6144      4096      256     8       SKIP  SKIP  26.956      1.671       
scale   scale_tensara_2 basic         6144      4096      256     16      SKIP  SKIP  25.493      1.539       
scale   scale_tensara_2 basic         6144      4096      256     32      SKIP  SKIP  31.433      1.596       
scale   scale_tensara_2 basic         6144      4096      256     64      SKIP  SKIP  27.563      1.548       
scale   scale_tensara_2 basic         6144      4096      256     128     SKIP  SKIP  29.778      1.541       
scale   scale_tensara_2 basic         6144      4096      512     8       SKIP  SKIP  32.061      2.254       
scale   scale_tensara_2 basic         6144      4096      512     16      SKIP  SKIP  29.328      1.493       
scale   scale_tensara_2 basic         6144      4096      512     32      SKIP  SKIP  26.371      1.495       
scale   scale_tensara_2 basic         6144      4096      512     64      SKIP  SKIP  32.887      2.227       
scale   scale_tensara_2 basic         6144      4096      512     128     SKIP  SKIP  33.453      2.242       
scale   scale_tensara_3 basic         7168      4096      64      8       SKIP  SKIP  45.316      4.140       
scale   scale_tensara_3 basic         7168      4096      64      16      SKIP  SKIP  38.772      2.226       
scale   scale_tensara_3 basic         7168      4096      64      32      SKIP  SKIP  30.720      1.853       
scale   scale_tensara_3 basic         7168      4096      64      64      SKIP  SKIP  41.434      1.718       
scale   scale_tensara_3 basic         7168      4096      64      128     SKIP  SKIP  40.724      1.802       
scale   scale_tensara_3 basic         7168      4096      128     8       SKIP  SKIP  39.150      2.448       
scale   scale_tensara_3 basic         7168      4096      128     16      SKIP  SKIP  34.343      1.923       
scale   scale_tensara_3 basic         7168      4096      128     32      SKIP  SKIP  31.555      1.743       
scale   scale_tensara_3 basic         7168      4096      128     64      SKIP  SKIP  30.462      1.712       
scale   scale_tensara_3 basic         7168      4096      128     128     SKIP  SKIP  31.820      1.782       
scale   scale_tensara_3 basic         7168      4096      256     8       SKIP  SKIP  34.284      2.228       
scale   scale_tensara_3 basic         7168      4096      256     16      SKIP  SKIP  31.433      1.717       
scale   scale_tensara_3 basic         7168      4096      256     32      SKIP  SKIP  31.294      1.800       
scale   scale_tensara_3 basic         7168      4096      256     64      SKIP  SKIP  33.067      1.802       
scale   scale_tensara_3 basic         7168      4096      256     128     SKIP  SKIP  30.802      1.763       
scale   scale_tensara_3 basic         7168      4096      512     8       SKIP  SKIP  35.526      2.286       
scale   scale_tensara_3 basic         7168      4096      512     16      SKIP  SKIP  33.593      1.731       
scale   scale_tensara_3 basic         7168      4096      512     32      SKIP  SKIP  28.258      1.738       
scale   scale_tensara_3 basic         7168      4096      512     64      SKIP  SKIP  33.991      2.274       
scale   scale_tensara_3 basic         7168      4096      512     128     SKIP  SKIP  35.860      2.253       
scale   scale_tensara_4 basic         8192      4096      64      8       SKIP  SKIP  55.339      4.747       
scale   scale_tensara_4 basic         8192      4096      64      16      SKIP  SKIP  35.801      2.538       
scale   scale_tensara_4 basic         8192      4096      64      32      SKIP  SKIP  33.481      2.012       
scale   scale_tensara_4 basic         8192      4096      64      64      SKIP  SKIP  31.613      1.960       
scale   scale_tensara_4 basic         8192      4096      64      128     SKIP  SKIP  32.278      2.037       
scale   scale_tensara_4 basic         8192      4096      128     8       SKIP  SKIP  36.958      2.801       
scale   scale_tensara_4 basic         8192      4096      128     16      SKIP  SKIP  34.051      2.046       
scale   scale_tensara_4 basic         8192      4096      128     32      SKIP  SKIP  34.389      1.958       
scale   scale_tensara_4 basic         8192      4096      128     64      SKIP  SKIP  33.172      2.108       
scale   scale_tensara_4 basic         8192      4096      128     128     SKIP  SKIP  32.556      2.013       
scale   scale_tensara_4 basic         8192      4096      256     8       SKIP  SKIP  42.117      2.226       
scale   scale_tensara_4 basic         8192      4096      256     16      SKIP  SKIP  45.501      1.957       
scale   scale_tensara_4 basic         8192      4096      256     32      SKIP  SKIP  34.322      2.040       
scale   scale_tensara_4 basic         8192      4096      256     64      SKIP  SKIP  34.837      2.023       
scale   scale_tensara_4 basic         8192      4096      256     128     SKIP  SKIP  35.226      2.014       
scale   scale_tensara_4 basic         8192      4096      512     8       SKIP  SKIP  34.604      2.254       
scale   scale_tensara_4 basic         8192      4096      512     16      SKIP  SKIP  32.443      1.982       
scale   scale_tensara_4 basic         8192      4096      512     32      SKIP  SKIP  32.203      1.974       
scale   scale_tensara_4 basic         8192      4096      512     64      SKIP  SKIP  33.268      2.230       
scale   scale_tensara_4 basic         8192      4096      512     128     SKIP  SKIP  34.172      2.290       
scale   scale_tensara_5 basic         9216      4096      64      8       SKIP  SKIP  54.171      5.329       
scale   scale_tensara_5 basic         9216      4096      64      16      SKIP  SKIP  41.500      2.844       
scale   scale_tensara_5 basic         9216      4096      64      32      SKIP  SKIP  35.630      2.374       
scale   scale_tensara_5 basic         9216      4096      64      64      SKIP  SKIP  37.625      2.309       
scale   scale_tensara_5 basic         9216      4096      64      128     SKIP  SKIP  39.067      2.390       
scale   scale_tensara_5 basic         9216      4096      128     8       SKIP  SKIP  43.286      3.149       
scale   scale_tensara_5 basic         9216      4096      128     16      SKIP  SKIP  38.316      2.417       
scale   scale_tensara_5 basic         9216      4096      128     32      SKIP  SKIP  39.224      2.315       
scale   scale_tensara_5 basic         9216      4096      128     64      SKIP  SKIP  56.769      2.665       
scale   scale_tensara_5 basic         9216      4096      128     128     SKIP  SKIP  42.621      2.249       
scale   scale_tensara_5 basic         9216      4096      256     8       SKIP  SKIP  51.189      2.838       
scale   scale_tensara_5 basic         9216      4096      256     16      SKIP  SKIP  44.593      2.511       
scale   scale_tensara_5 basic         9216      4096      256     32      SKIP  SKIP  45.961      2.567       
scale   scale_tensara_5 basic         9216      4096      256     64      SKIP  SKIP  37.109      2.264       
scale   scale_tensara_5 basic         9216      4096      256     128     SKIP  SKIP  35.724      2.269       
scale   scale_tensara_5 basic         9216      4096      512     8       SKIP  SKIP  42.267      3.422       
scale   scale_tensara_5 basic         9216      4096      512     16      SKIP  SKIP  46.736      3.080       
scale   scale_tensara_5 basic         9216      4096      512     32      SKIP  SKIP  45.843      2.226       
scale   scale_tensara_5 basic         9216      4096      512     64      SKIP  SKIP  43.410      2.291       
scale   scale_tensara_5 basic         9216      4096      512     128     SKIP  SKIP  48.130      2.259       
shape   shape_tall      basic         8192      1024      256     64      SKIP  SKIP  9.213       0.517       
shape   shape_wide      basic         1024      8192      256     64      SKIP  SKIP  19.959      2.234       
shape   shape_odd       basic         4097      2049      256     64      SKIP  SKIP  9.900       0.499       
shape   shape_rect      basic         2049      4097      256     64      SKIP  SKIP  11.517      0.543       
scale   scale_sq        basic         4096      4096      64      8       SKIP  SKIP  24.825      2.365       
scale   scale_sq        basic         4096      4096      64      16      SKIP  SKIP  20.243      1.269       
scale   scale_sq        basic         4096      4096      64      32      SKIP  SKIP  17.681      1.015       
scale   scale_sq        basic         4096      4096      64      64      SKIP  SKIP  16.215      0.984       
scale   scale_sq        basic         4096      4096      64      128     SKIP  SKIP  19.558      0.989       
scale   scale_sq        basic         4096      4096      128     8       SKIP  SKIP  18.549      1.398       
scale   scale_sq        basic         4096      4096      128     16      SKIP  SKIP  15.763      1.019       
scale   scale_sq        basic         4096      4096      128     32      SKIP  SKIP  16.143      0.983       
scale   scale_sq        basic         4096      4096      128     64      SKIP  SKIP  15.942      0.981       
scale   scale_sq        basic         4096      4096      128     128     SKIP  SKIP  15.818      0.983       
scale   scale_sq        basic         4096      4096      256     8       SKIP  SKIP  18.779      1.115       
scale   scale_sq        basic         4096      4096      256     16      SKIP  SKIP  17.390      0.982       
