Timing samples: mode=median repeats=5 warmup=1 metric=kernel_ms

group   name            kernel      rows      cols      alpha   block_x grid_x  cpu   gpu   total_ms    kernel_ms   
--------------------------------------------------------------------------------------------------------------------
small   small_1         basic       4         4         0.010   256     64      SKIP  PASS  4.571       0.006       
small   small_2         basic       2         3         0.100   256     64      SKIP  PASS  10.529      0.006       
small   small_3         basic       3         1         0.200   256     64      SKIP  PASS  0.987       0.005       
medium  medium_1        basic       64        64        0.010   256     64      SKIP  SKIP  0.891       0.006       
medium  medium_2        basic       255       257       0.050   256     64      SKIP  SKIP  0.744       0.006       
medium  medium_3        basic       513       1025      0.100   256     64      SKIP  SKIP  2.365       0.029       
medium  medium_4        basic       1024      1024      0.200   256     64      SKIP  SKIP  3.243       0.055       
medium  medium_tail     basic       257       258       0.200   256     64      SKIP  SKIP  1.511       0.006       
large   large_1         basic       1023      2049      0.050   256     64      SKIP  SKIP  6.235       0.104       
large   large_2         basic       1537      2049      0.100   256     64      SKIP  SKIP  6.901       0.154       
tensara tensara_1       basic       4096      4096      0.010   256     64      SKIP  SKIP  35.595      0.793       
tensara tensara_2       basic       4096      4096      0.050   256     64      SKIP  SKIP  31.353      0.794       
tensara tensara_3       basic       4096      4096      0.100   256     64      SKIP  SKIP  31.781      0.795       
tensara tensara_4       basic       4096      4096      0.200   256     64      SKIP  SKIP  30.557      0.794       
tensara tensara_5       basic       6144      4096      0.010   256     64      SKIP  SKIP  45.191      1.186       
tensara tensara_6       basic       6144      4096      0.050   256     64      SKIP  SKIP  47.341      1.191       
tensara tensara_7       basic       6144      4096      0.100   256     64      SKIP  SKIP  49.638      1.188       
tensara tensara_8       basic       6144      4096      0.200   256     64      SKIP  SKIP  45.321      1.184       
scale   scale_tensara_1 basic       4096      4096      0.010   64      8       SKIP  SKIP  98.281      12.262      
scale   scale_tensara_1 basic       4096      4096      0.010   64      16      SKIP  SKIP  62.739      6.191       
scale   scale_tensara_1 basic       4096      4096      0.010   64      32      SKIP  SKIP  45.753      2.815       
