Timing samples: mode=median repeats=5 warmup=1 metric=kernel_ms
CPU reference implemented: yes
GPU kernel implemented: yes

group   name              kernel                 H       H_out       K       S       P   block    grid    cpu    gpu    total_ms   kernel_ms
--------------------------------------------------------------------------------------------------------------------------------------------
small   pad_stride_1      basic                  5           5       3       1       1     256      64   SKIP   PASS       3.110       0.006
small   stride_2          basic                  6           3       2       2       0     256      64   SKIP   PASS       0.567       0.005
small   wide_pad          basic                  4           5       4       1       2     256      64   SKIP   PASS       0.553       0.005
small   kernel_1          basic                  4           4       1       1       0     256      64   SKIP   PASS       0.523       0.008
small   pad_stride_2      basic                  3           3       3       2       2     256      64   SKIP   PASS       0.810       0.005
small   stride_gap        basic                  7           2       2       3       0     256      64   SKIP   PASS       0.704       0.006
small   pad_zero_windows  basic                  1           6       2       1       3     256      64   SKIP   PASS       0.480       0.006
small   zero_output       basic                  2           0       5       1       0     256      64   SKIP   PASS       0.000       0.000
medium  sample            basic                 16           8       3       2       1     256      64   SKIP   SKIP       0.664       0.006
medium  medium_1          basic               4096        1024       7       4       3     256      64   SKIP   SKIP       0.472       0.006
medium  medium_2          basic              65536       32768       3       2       1     256      64   SKIP   SKIP       0.822       0.007
medium  medium_3          basic             262144       87382       5       3       2     256      64   SKIP   SKIP       0.869       0.012
large   large_1           basic            1048576      262144       7       4       3     256      64   SKIP   SKIP       1.850       0.036
large   large_2           basic            1048583      349528       5       3       2     256      64   SKIP   SKIP       1.816       0.040
tensara tensara_1         basic            2097152      524288       7       4       3     256      64   SKIP   SKIP       2.436       0.066
tensara tensara_2         basic            4194304     4194303       2       1       0     256      64   SKIP   SKIP       8.862       0.304
tensara tensara_3         basic            8388608     4194304       3       2       1     256      64   SKIP   SKIP      17.999       0.308
tensara tensara_4         basic           16777216     8388608       4       2       1     256      64   SKIP   SKIP      22.575       0.650
tensara tensara_5         basic           33554432    33554432       3       1       1     256      64   SKIP   SKIP      61.347       2.521
tensara tensara_6         basic           67108864    22369622       5       3       2     256      64   SKIP   SKIP      69.014       2.167
scale   scale_tensara_1   basic            2097152      524288       7       4       3      64       8   SKIP   SKIP       7.373       0.763
scale   scale_tensara_1   basic            2097152      524288       7       4       3      64      16   SKIP   SKIP       4.609       0.387
scale   scale_tensara_1   basic            2097152      524288       7       4       3      64      32   SKIP   SKIP       3.240       0.201
scale   scale_tensara_1   basic            2097152      524288       7       4       3      64      64   SKIP   SKIP       3.195       0.111
scale   scale_tensara_1   basic            2097152      524288       7       4       3      64     128   SKIP   SKIP       2.496       0.071
scale   scale_tensara_1   basic            2097152      524288       7       4       3     128       8   SKIP   SKIP       5.229       0.388
scale   scale_tensara_1   basic            2097152      524288       7       4       3     128      16   SKIP   SKIP       3.149       0.202
scale   scale_tensara_1   basic            2097152      524288       7       4       3     128      32   SKIP   SKIP       2.662       0.112
scale   scale_tensara_1   basic            2097152      524288       7       4       3     128      64   SKIP   SKIP       2.330       0.071
scale   scale_tensara_1   basic            2097152      524288       7       4       3     128     128   SKIP   SKIP       2.563       0.066
scale   scale_tensara_1   basic            2097152      524288       7       4       3     256       8   SKIP   SKIP       4.846       0.206
scale   scale_tensara_1   basic            2097152      524288       7       4       3     256      16   SKIP   SKIP       2.803       0.111
scale   scale_tensara_1   basic            2097152      524288       7       4       3     256      32   SKIP   SKIP       3.085       0.071
scale   scale_tensara_1   basic            2097152      524288       7       4       3     256      64   SKIP   SKIP       2.305       0.066
scale   scale_tensara_1   basic            2097152      524288       7       4       3     256     128   SKIP   SKIP       2.386       0.072
scale   scale_tensara_1   basic            2097152      524288       7       4       3     512       8   SKIP   SKIP       2.656       0.121
scale   scale_tensara_1   basic            2097152      524288       7       4       3     512      16   SKIP   SKIP       2.426       0.070
scale   scale_tensara_1   basic            2097152      524288       7       4       3     512      32   SKIP   SKIP       2.341       0.067
scale   scale_tensara_1   basic            2097152      524288       7       4       3     512      64   SKIP   SKIP       2.502       0.073
scale   scale_tensara_1   basic            2097152      524288       7       4       3     512     128   SKIP   SKIP       2.431       0.067
scale   scale_tensara_2   basic            4194304     4194303       2       1       0      64       8   SKIP   SKIP      43.256       6.190
scale   scale_tensara_2   basic            4194304     4194303       2       1       0      64      16   SKIP   SKIP      24.067       2.914
scale   scale_tensara_2   basic            4194304     4194303       2       1       0      64      32   SKIP   SKIP      13.225       1.212
scale   scale_tensara_2   basic            4194304     4194303       2       1       0      64      64   SKIP   SKIP      10.108       0.633
scale   scale_tensara_2   basic            4194304     4194303       2       1       0      64     128   SKIP   SKIP       7.910       0.348
scale   scale_tensara_2   basic            4194304     4194303       2       1       0     128       8   SKIP   SKIP      19.902       2.374
scale   scale_tensara_2   basic            4194304     4194303       2       1       0     128      16   SKIP   SKIP      13.552       1.196
scale   scale_tensara_2   basic            4194304     4194303       2       1       0     128      32   SKIP   SKIP       9.992       0.628
scale   scale_tensara_2   basic            4194304     4194303       2       1       0     128      64   SKIP   SKIP       8.717       0.351
scale   scale_tensara_2   basic            4194304     4194303       2       1       0     128     128   SKIP   SKIP       6.833       0.241
scale   scale_tensara_2   basic            4194304     4194303       2       1       0     256       8   SKIP   SKIP      13.132       1.206
scale   scale_tensara_2   basic            4194304     4194303       2       1       0     256      16   SKIP   SKIP      10.907       0.624
scale   scale_tensara_2   basic            4194304     4194303       2       1       0     256      32   SKIP   SKIP       7.597       0.344
