Timing samples: mode=median repeats=5 warmup=1 metric=kernel_ms
CPU reference implemented: yes
GPU kernel implemented: yes

group   name              kernel                 H       H_out       K       S       P   block    grid    cpu    gpu    total_ms   kernel_ms
--------------------------------------------------------------------------------------------------------------------------------------------
small   pad_stride_1      basic                  5           5       3       1       1     256      64   PASS   PASS      16.110       0.007
small   stride_2          basic                  6           3       2       2       0     256      64   PASS   PASS       0.556       0.006
small   wide_pad          basic                  4           5       4       1       2     256      64   PASS   PASS       0.515       0.006
small   kernel_1          basic                  4           4       1       1       0     256      64   PASS   PASS       0.809       0.005
small   pad_stride_2      basic                  3           3       3       2       2     256      64   PASS   PASS       0.729       0.005
small   stride_gap        basic                  7           2       2       3       0     256      64   PASS   PASS       0.563       0.005
small   pad_zero_windows  basic                  1           6       2       1       3     256      64   PASS   PASS       0.541       0.005
small   zero_output       basic                  2           0       5       1       0     256      64   PASS   PASS       0.000       0.000
medium  sample            basic                 16           8       3       2       1     256      64    REF   PASS       0.656       0.006
medium  medium_1          basic               4096        1024       7       4       3     256      64    REF   PASS       0.595       0.006
medium  medium_2          basic              65536       32768       3       2       1     256      64    REF   PASS       0.646       0.008
medium  medium_3          basic             262144       87382       5       3       2     256      64    REF   PASS       0.842       0.013
large   large_1           basic            1048576      262144       7       4       3     256      64    REF   PASS       2.039       0.036
large   large_2           basic            1048583      349528       5       3       2     256      64    REF   PASS       4.156       0.040
scale   scale_tiny        basic                 33          33       3       1       1      64       8    REF   PASS       0.835       0.006
scale   scale_tiny        basic                 33          33       3       1       1      64      16    REF   PASS       0.516       0.006
scale   scale_tiny        basic                 33          33       3       1       1      64      32    REF   PASS       0.474       0.006
scale   scale_tiny        basic                 33          33       3       1       1      64      64    REF   PASS       0.534       0.005
scale   scale_tiny        basic                 33          33       3       1       1      64     128    REF   PASS       0.521       0.006
scale   scale_tiny        basic                 33          33       3       1       1     128       8    REF   PASS       0.500       0.006
scale   scale_tiny        basic                 33          33       3       1       1     128      16    REF   PASS       0.455       0.006
scale   scale_tiny        basic                 33          33       3       1       1     128      32    REF   PASS       0.446       0.006
scale   scale_tiny        basic                 33          33       3       1       1     128      64    REF   PASS       0.427       0.007
scale   scale_tiny        basic                 33          33       3       1       1     128     128    REF   PASS       0.446       0.006
scale   scale_tiny        basic                 33          33       3       1       1     256       8    REF   PASS       0.444       0.006
scale   scale_tiny        basic                 33          33       3       1       1     256      16    REF   PASS       0.479       0.006
scale   scale_tiny        basic                 33          33       3       1       1     256      32    REF   PASS       0.432       0.006
