Timing samples: mode=median repeats=5 warmup=1 metric=kernel_ms
CPU reference implemented: yes
GPU kernel implemented: yes

group   name              kernel      rows      cols      block_x grid_x  cpu   gpu   total_ms    kernel_ms   
--------------------------------------------------------------------------------------------------------------
small   small_1           basic       3         3         256     64      SKIP  PASS  4.217       0.027       
small   small_2           basic       2         3         256     64      SKIP  PASS  0.851       0.022       
small   small_tail        basic       1         5         256     64      SKIP  PASS  0.748       0.006       
tensara tensara_1         basic       4096      4096      256     64      SKIP  SKIP  47.672      0.817       
tensara tensara_2         basic       6144      4096      256     64      SKIP  SKIP  61.837      1.224       
tensara tensara_3         basic       4096      7168      256     64      SKIP  SKIP  62.700      1.422       
tensara tensara_4         basic       4096      8192      256     64      SKIP  SKIP  66.120      1.619       
tensara tensara_5         basic       8192      8192      256     64      SKIP  SKIP  144.032     3.276       
scale   scale_tensara_1   basic       4096      4096      64      8       SKIP  SKIP  107.371     13.610      
scale   scale_tensara_1   basic       4096      4096      64      16      SKIP  SKIP  62.966      6.466       
scale   scale_tensara_1   basic       4096      4096      64      32      SKIP  SKIP  53.740      3.338       
scale   scale_tensara_1   basic       4096      4096      64      64      SKIP  SKIP  37.784      1.776       
scale   scale_tensara_1   basic       4096      4096      64      128     SKIP  SKIP  29.397      1.048       
scale   scale_tensara_1   basic       4096      4096      128     8       SKIP  SKIP  61.849      6.471       
scale   scale_tensara_1   basic       4096      4096      128     16      SKIP  SKIP  43.736      3.343       
scale   scale_tensara_1   basic       4096      4096      128     32      SKIP  SKIP  33.914      1.774       
scale   scale_tensara_1   basic       4096      4096      128     64      SKIP  SKIP  33.152      1.041       
scale   scale_tensara_1   basic       4096      4096      128     128     SKIP  SKIP  27.248      0.799       
scale   scale_tensara_1   basic       4096      4096      256     8       SKIP  SKIP  43.593      3.344       
scale   scale_tensara_1   basic       4096      4096      256     16      SKIP  SKIP  34.461      1.781       
scale   scale_tensara_1   basic       4096      4096      256     32      SKIP  SKIP  28.909      1.047       
scale   scale_tensara_1   basic       4096      4096      256     64      SKIP  SKIP  27.992      0.796       
scale   scale_tensara_1   basic       4096      4096      256     128     SKIP  SKIP  28.138      0.910       
scale   scale_tensara_1   basic       4096      4096      512     8       SKIP  SKIP  36.892      1.783       
scale   scale_tensara_1   basic       4096      4096      512     16      SKIP  SKIP  30.283      1.049       
scale   scale_tensara_1   basic       4096      4096      512     32      SKIP  SKIP  26.834      0.796       
